AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
Region,Region 1,All,2019-20,40,6.5,5.7,5.7,0,142,"2,475",> 100%
Region,Region 1,All,2019-20,41,6.5,5.8,7,0,170,"2,445",99.7%
Region,Region 1,All,2019-20,42,6.6,5.9,6.1,0,156,"2,548",> 100%
Region,Region 1,All,2019-20,43,6.7,6,5.9,0,150,"2,524",> 100%
Region,Region 1,All,2019-20,44,6.8,6.1,5,1,126,"2,542",> 100%
Region,Region 1,All,2019-20,45,7,6.2,5.8,2,145,"2,524",> 100%
Region,Region 1,All,2019-20,46,7.1,6.4,5.8,0,151,"2,596",> 100%
Region,Region 1,All,2019-20,47,7.2,6.5,6.6,0,183,"2,771",> 100%
Region,Region 1,All,2019-20,48,7.3,6.6,5.2,3,136,"2,676",> 100%
Region,Region 1,All,2019-20,49,7.5,6.8,6.5,1,170,"2,630",> 100%
Region,Region 1,All,2019-20,50,7.6,6.9,6,0,152,"2,538",> 100%
Region,Region 1,All,2019-20,51,7.8,7,6,0,152,"2,538",> 100%
Region,Region 1,All,2019-20,52,7.9,7.2,6.3,8,156,"2,583",> 100%
Region,Region 1,All,2019-20,1,8,7.3,7.1,6,162,"2,355",96%
Region,Region 1,All,2019-20,2,8.1,7.4,7.1,16,136,"2,155",87.8%
Region,Region 1,All,2019-20,3,8.2,7.5,8,17,149,"2,067",84.2%
Region,Region 1,All,2019-20,4,8.3,7.6,7.6,18,146,"2,160",88%
Region,Region 1,All,2019-20,5,8.4,7.7,8.5,26,148,"2,055",83.8%
Region,Region 1,All,2019-20,6,8.5,7.8,7.5,25,137,"2,162",88.1%
Region,Region 1,All,2019-20,7,8.5,7.8,7.7,23,140,"2,129",86.8%
Region,Region 1,All,2019-20,8,8.6,7.8,8,23,142,"2,073",84.5%
Region,Region 1,All,2019-20,9,8.6,7.9,9,33,161,"2,149",87.6%
Region,Region 1,All,2019-20,10,8.6,7.9,8.4,25,152,"2,103",85.7%
Region,Region 1,All,2019-20,11,8.6,7.9,8.8,23,156,"2,044",83.3%
Region,Region 1,All,2019-20,12,8.5,7.8,10,15,141,"1,556",63.4%
Region,Region 2,All,2019-20,40,6.9,6.4,6.4,0,273,"4,289",99.6%
Region,Region 2,All,2019-20,41,7,6.5,6.3,1,278,"4,437",> 100%
Region,Region 2,All,2019-20,42,7.1,6.6,6.7,2,294,"4,421",> 100%
Region,Region 2,All,2019-20,43,7.2,6.7,6.6,1,287,"4,339",> 100%
Region,Region 2,All,2019-20,44,7.4,6.8,6.6,2,281,"4,264",99%
Region,Region 2,All,2019-20,45,7.5,6.9,7.1,1,320,"4,547",> 100%
Region,Region 2,All,2019-20,46,7.6,7.1,6.4,0,294,"4,583",> 100%
Region,Region 2,All,2019-20,47,7.7,7.2,6.3,5,280,"4,541",> 100%
Region,Region 2,All,2019-20,48,7.8,7.3,6.2,1,272,"4,420",> 100%
Region,Region 2,All,2019-20,49,7.9,7.4,6.4,4,301,"4,781",> 100%
Region,Region 2,All,2019-20,50,8,7.5,7.2,5,334,"4,693",> 100%
Region,Region 2,All,2019-20,51,8.1,7.6,7.2,5,334,"4,693",> 100%
Region,Region 2,All,2019-20,52,8.2,7.7,7.2,12,329,"4,768",> 100%
Region,Region 2,All,2019-20,1,8.3,7.8,7.8,28,352,"4,844",> 100%
Region,Region 2,All,2019-20,2,8.4,7.9,8.2,27,363,"4,785",> 100%
Region,Region 2,All,2019-20,3,8.5,7.9,8.5,49,359,"4,784",> 100%
Region,Region 2,All,2019-20,4,8.5,8,8.3,29,369,"4,776",> 100%
Region,Region 2,All,2019-20,5,8.6,8,7.8,45,320,"4,706",> 100%
Region,Region 2,All,2019-20,6,8.6,8.1,8,46,329,"4,695",> 100%
Region,Region 2,All,2019-20,7,8.6,8.1,7.8,34,325,"4,611",> 100%
Region,Region 2,All,2019-20,8,8.6,8.1,7.7,43,309,"4,573",> 100%
Region,Region 2,All,2019-20,9,8.6,8.1,7.7,34,334,"4,773",> 100%
Region,Region 2,All,2019-20,10,8.6,8,8.3,44,338,"4,603",> 100%
Region,Region 2,All,2019-20,11,8.5,8,8.8,35,354,"4,425",> 100%
Region,Region 2,All,2019-20,12,8.5,8,10.2,28,438,"4,587",> 100%
Region,Region 3,All,2019-20,40,5.4,4.9,4.5,3,234,"5,224",97.3%
Region,Region 3,All,2019-20,41,5.4,5,4.5,1,235,"5,211",97.1%
Region,Region 3,All,2019-20,42,5.5,5,5.2,4,283,"5,520",> 100%
Region,Region 3,All,2019-20,43,5.6,5.1,5.4,1,298,"5,498",> 100%
Region,Region 3,All,2019-20,44,5.7,5.2,4.8,4,260,"5,536",> 100%
Region,Region 3,All,2019-20,45,5.8,5.3,5.1,2,278,"5,513",> 100%
Region,Region 3,All,2019-20,46,5.9,5.4,5.2,2,293,"5,663",> 100%
Region,Region 3,All,2019-20,47,6,5.5,4.8,4,268,"5,617",> 100%
Region,Region 3,All,2019-20,48,6.1,5.6,4.7,2,264,"5,709",> 100%
Region,Region 3,All,2019-20,49,6.2,5.7,5.3,3,298,"5,719",> 100%
Region,Region 3,All,2019-20,50,6.3,5.8,5.3,3,308,"5,897",> 100%
Region,Region 3,All,2019-20,51,6.4,5.9,5.3,3,308,"5,897",> 100%
Region,Region 3,All,2019-20,52,6.5,6,5.7,11,326,"5,948",> 100%
Region,Region 3,All,2019-20,1,6.5,6.1,7.2,39,388,"5,919",> 100%
Region,Region 3,All,2019-20,2,6.6,6.1,6.5,26,348,"5,735",> 100%
Region,Region 3,All,2019-20,3,6.7,6.2,6.7,28,341,"5,538",> 100%
Region,Region 3,All,2019-20,4,6.7,6.3,6.9,47,311,"5,193",96.7%
Region,Region 3,All,2019-20,5,6.8,6.3,6.5,30,304,"5,149",95.9%
Region,Region 3,All,2019-20,6,6.8,6.3,5.8,40,266,"5,281",98.4%
Region,Region 3,All,2019-20,7,6.8,6.4,6.7,42,295,"5,065",94.3%
