,Area,Season,Week,Threshold,Baseline,Percent_p_i,Num_influenza_deaths,Num_pneumonia_deaths,Total_deaths,Percent_complete,Calendar_year,Population,Deaths_per_hund_thou,Percent_p
0,National,2013-14,40,0.068,0.064,0.066,3,3140,47492,0.998,2013,315993715,15.029412847657428,0.06611639855133496
1,National,2013-14,41,0.069,0.065,0.067,12,3135,47304,0.9940000000000001,2013,315993715,14.969917993463888,0.06627346524606799
2,National,2013-14,42,0.07,0.066,0.068,11,3216,47602,1.0,2013,315993715,15.064223666600457,0.06756018654678375
3,National,2013-14,43,0.071,0.067,0.066,11,3151,47746,1.0,2013,315993715,15.109794193216786,0.06599505717756461
4,National,2013-14,44,0.07200000000000001,0.068,0.067,12,3271,48777,1.0,2013,315993715,15.43606650531008,0.06706029481107899
5,National,2013-14,45,0.073,0.069,0.07,17,3429,48939,1.0,2013,315993715,15.48733334775345,0.07006681787531417
6,National,2013-14,46,0.07400000000000001,0.07,0.067,15,3320,49409,1.0,2013,315993715,15.636070483237301,0.06719423586795928
7,National,2013-14,47,0.075,0.071,0.07,28,3430,49591,1.0,2013,315993715,15.693666565488494,0.06916577604807324
8,National,2013-14,48,0.077,0.073,0.069,33,3385,49288,1.0,2013,315993715,15.597778582399968,0.06867797435481253
9,National,2013-14,49,0.078,0.07400000000000001,0.07200000000000001,42,3594,50812,1.0,2013,315993715,16.08006665575611,0.07073132330945446
10,National,2013-14,50,0.079,0.075,0.076,68,3856,51848,1.0,2013,315993715,16.407921277801364,0.07437123900632618
11,National,2013-14,51,0.08,0.076,0.077,107,3917,52548,1.0,2013,315993715,16.62944467107518,0.07454137169825684
12,National,2013-14,52,0.081,0.077,0.08,207,3942,51954,1.0,2013,315993715,16.441466248782827,0.07587481233398775
13,National,2013-14,1,0.08199999999999999,0.078,0.091,350,4490,53277,1.0,2014,318301008,16.737930028798402,0.08427651707115641
14,National,2013-14,2,0.083,0.079,0.098,459,4987,55620,1.0,2014,318301008,17.474025718448242,0.08966199208917655
15,National,2013-14,3,0.084,0.079,0.1,474,5004,54580,1.0,2014,318301008,17.147290969307896,0.09168193477464273
16,National,2013-14,4,0.084,0.08,0.09699999999999999,442,4783,54085,1.0,2014,318301008,16.99177779543821,0.0884348710363317
17,National,2013-14,5,0.084,0.08,0.09300000000000001,385,4623,53955,1.0,2014,318301008,16.950935951795667,0.08568251320544898
18,National,2013-14,6,0.085,0.081,0.09,315,4475,53397,1.0,2014,318301008,16.775630192160747,0.08380620634118022
19,National,2013-14,7,0.085,0.081,0.087,271,4385,53815,1.0,2014,318301008,16.906952427872927,0.08148285793923628
20,National,2013-14,8,0.085,0.081,0.08,209,3989,52642,1.0,2014,318301008,16.538433331005976,0.07577599635272216
21,National,2013-14,9,0.085,0.081,0.078,161,3868,51674,1.0,2014,318301008,16.234318679883035,0.07485389170569338
22,National,2013-14,10,0.084,0.08,0.08,125,4048,52058,1.0,2014,318301008,16.35495920264255,0.07775942218294979
23,National,2013-14,11,0.084,0.08,0.078,93,3941,51782,1.0,2014,318301008,16.26824882690915,0.07610752771233247
24,National,2013-14,12,0.083,0.079,0.076,74,3833,51385,1.0,2014,318301008,16.143524119785383,0.07459375304077065
25,National,2013-14,13,0.083,0.079,0.076,65,3795,50858,1.0,2014,318301008,15.977957569019072,0.07461952888434464
26,National,2013-14,14,0.08199999999999999,0.078,0.076,55,3808,50749,1.0,2014,318301008,15.943713253964939,0.07503596129973004
