,State,Season,Week,Percent_P_I,Num_Influenza_Deaths,Num_Pneumonia_Deaths,Total_Deaths,Percent_Complete,Calendar_Year
0,Alabama,2012-13,1,8.8,4,73,874,0.9,2013
1,Alabama,2012-13,2,9.3,12,100,1200,1.0,2013
2,Alabama,2012-13,3,10.0,8,102,1105,1.0,2013
3,Alabama,2012-13,4,9.8,4,100,1060,1.0,2013
4,Alabama,2012-13,5,8.3,2,83,1026,1.0,2013
5,Alabama,2012-13,6,8.5,0,90,1057,1.0,2013
6,Alabama,2012-13,7,7.9,0,77,969,0.997,2013
7,Alabama,2012-13,8,7.1,1,75,1074,1.0,2013
8,Alabama,2012-13,9,7.1,2,72,1035,1.0,2013
9,Alabama,2012-13,10,7.2,0,75,1048,1.0,2013
10,Alabama,2012-13,11,7.1,1,70,995,1.0,2013
11,Alabama,2012-13,12,5.8,1,61,1078,1.0,2013
12,Alabama,2012-13,13,6.3,0,64,1008,1.0,2013
13,Alabama,2012-13,14,7.0,1,69,1003,1.0,2013
14,Alabama,2012-13,15,9.3,2,92,1013,1.0,2013
15,Alabama,2012-13,16,6.6,0,59,891,0.917,2013
16,Alabama,2012-13,17,8.1,0,78,962,0.99,2013
17,Alabama,2012-13,18,5.6,0,55,974,1.0,2013
18,Alabama,2012-13,19,6.6,0,61,922,0.9490000000000001,2013
19,Alabama,2012-13,20,5.7,1,54,969,0.997,2013
20,Alabama,2012-13,21,4.6,0,41,886,0.912,2013
21,Alabama,2012-13,22,5.9,0,53,897,0.9229999999999999,2013
22,Alabama,2012-13,23,5.9,2,54,955,0.983,2013
23,Alabama,2012-13,24,4.9,0,43,871,0.897,2013
24,Alabama,2012-13,25,4.7,0,41,879,0.905,2013
25,Alabama,2012-13,26,5.4,0,47,863,0.888,2013
26,Alabama,2012-13,27,4.7,0,43,906,0.9329999999999999,2013
27,Alabama,2012-13,28,5.6,0,48,860,0.885,2013
28,Alabama,2012-13,29,7.9,0,69,869,0.895,2013
29,Alabama,2012-13,30,4.0,2,32,857,0.882,2013
30,Alabama,2012-13,31,5.4,0,50,927,0.9540000000000001,2013
31,Alabama,2012-13,32,5.8,0,48,826,0.85,2013
