,Season,Week,Percent_p_i,Num_influenza_deaths,Num_pneumonia_deaths,Total_deaths,Percent_complete,Calendar_year,State,Population,Deaths_per_hund_thou,Percent_p
0,2012-13,1,0.08800000000000001,4,73,874,0.9,2013,Alabama,4830081,18.094934639812458,0.08352402745995423
1,2012-13,2,0.09300000000000001,12,100,1200,1.0,2013,Alabama,4830081,24.844303853289418,0.08333333333333333
2,2012-13,3,0.1,8,102,1105,1.0,2013,Alabama,4830081,22.87746313157067,0.09230769230769231
3,2012-13,4,0.098,4,100,1060,1.0,2013,Alabama,4830081,21.94580173707232,0.09433962264150944
4,2012-13,5,0.083,2,83,1026,1.0,2013,Alabama,4830081,21.24187979456245,0.08089668615984405
5,2012-13,6,0.085,0,90,1057,1.0,2013,Alabama,4830081,21.883690977439095,0.08514664143803216
6,2012-13,7,0.079,0,77,969,0.997,2013,Alabama,4830081,20.061775361531204,0.07946336429308566
7,2012-13,8,0.071,1,75,1074,1.0,2013,Alabama,4830081,22.235651948694027,0.06983240223463687
8,2012-13,9,0.071,2,72,1035,1.0,2013,Alabama,4830081,21.428212073462124,0.06956521739130435
9,2012-13,10,0.07200000000000001,0,75,1048,1.0,2013,Alabama,4830081,21.697358698539425,0.0715648854961832
10,2012-13,11,0.071,1,70,995,1.0,2013,Alabama,4830081,20.60006861168581,0.07035175879396985
11,2012-13,12,0.057999999999999996,1,61,1078,1.0,2013,Alabama,4830081,22.31846629487166,0.05658627087198516
12,2012-13,13,0.063,0,64,1008,1.0,2013,Alabama,4830081,20.86921523676311,0.06349206349206349
13,2012-13,14,0.07,1,69,1003,1.0,2013,Alabama,4830081,20.765697304041073,0.06879361914257229
14,2012-13,15,0.09300000000000001,2,92,1013,1.0,2013,Alabama,4830081,20.97273316948515,0.09081934846989141
15,2012-13,16,0.066,0,59,891,0.917,2013,Alabama,4830081,18.446895611067394,0.06621773288439955
16,2012-13,17,0.081,0,78,962,0.99,2013,Alabama,4830081,19.916850255720348,0.08108108108108109
17,2012-13,18,0.055999999999999994,0,55,974,1.0,2013,Alabama,4830081,20.165293294253242,0.05646817248459959
18,2012-13,19,0.066,0,61,922,0.9490000000000001,2013,Alabama,4830081,19.088706793944034,0.06616052060737528
19,2012-13,20,0.057,1,54,969,0.997,2013,Alabama,4830081,20.061775361531204,0.05572755417956656
20,2012-13,21,0.046,0,41,886,0.912,2013,Alabama,4830081,18.34337767834535,0.046275395033860044
21,2012-13,22,0.059000000000000004,0,53,897,0.9229999999999999,2013,Alabama,4830081,18.57111713033384,0.059085841694537344
22,2012-13,23,0.059000000000000004,2,54,955,0.983,2013,Alabama,4830081,19.771925149909496,0.05654450261780105
23,2012-13,24,0.049,0,43,871,0.897,2013,Alabama,4830081,18.032823880179237,0.04936854190585534
24,2012-13,25,0.047,0,41,879,0.905,2013,Alabama,4830081,18.1984525725345,0.04664391353811149
25,2012-13,26,0.054000000000000006,0,47,863,0.888,2013,Alabama,4830081,17.867195187823974,0.054461181923522596
26,2012-13,27,0.047,0,43,906,0.9329999999999999,2013,Alabama,4830081,18.75744940923351,0.04746136865342163
27,2012-13,28,0.055999999999999994,0,48,860,0.885,2013,Alabama,4830081,17.80508442819075,0.05581395348837209
28,2012-13,29,0.079,0,69,869,0.895,2013,Alabama,4830081,17.99141670709042,0.07940161104718067
29,2012-13,30,0.04,2,32,857,0.882,2013,Alabama,4830081,17.742973668557525,0.03733955659276546
30,2012-13,31,0.054000000000000006,0,50,927,0.9540000000000001,2013,Alabama,4830081,19.192224726666076,0.05393743257820928
31,2012-13,32,0.057999999999999996,0,48,826,0.85,2013,Alabama,4830081,17.10116248568088,0.05811138014527845
32,2012-13,33,0.062,0,53,861,0.8859999999999999,2013,Alabama,4830081,17.825788014735156,0.06155632984901278
33,2012-13,34,0.045,0,41,916,0.943,2013,Alabama,4830081,18.96448527467759,0.04475982532751092
34,2012-13,35,0.062,1,56,916,0.943,2013,Alabama,4830081,18.96448527467759,0.0611353711790393
35,2012-13,36,0.05,0,43,856,0.8809999999999999,2013,Alabama,4830081,17.722270082013118,0.05023364485981308
36,2012-13,37,0.061,0,52,849,0.8740000000000001,2013,Alabama,4830081,17.577344976202262,0.061248527679623084
37,2012-13,38,0.055999999999999994,0,50,885,0.9109999999999999,2013,Alabama,4830081,18.322674091800945,0.05649717514124294
38,2012-13,39,0.07200000000000001,0,67,929,0.956,2013,Alabama,4830081,19.23363189975489,0.0721205597416577
39,2013-14,40,0.055,0,48,867,0.892,2013,Alabama,4830081,17.950009534001605,0.05536332179930796
